"Table 1221: Passenger journeys by sector, Great Britain, April 1994 to June 2025",,,,,
"This worksheet contains two tables presented vertically, with one blank row between tables. The first table shows annual data and the second table shows quarterly data. ",,,,,
Some cells refer to notes which can be found on the notes worksheet.,,,,,
"Some shorthand is used in this table, [b] = break in time series, [p] = provisional data, [z] = data not applicable",,,,,
"Table 1221a: Passenger journeys by sector, annual data",,,,,
Time period,"Franchised long distance operators
(million)","Franchised London and South East operators
(million)","Franchised regional operators
(million)","Open access operators
(million)
[note 1]","Total passenger journeys
(million)
[note 2]"
Jul to Sep 2002,19.0,166.1,55.9,1.2,242.2
Oct to Dec 2002,20.0,174.4,56.4,1.3,252.2
Jan to Mar 2003,19.5,171.8,53.7,1.2,246.2
Apr to Jun 2003 [note 4],19.8,167.0,56.5,1.2,244.5
Jul to Sep 2003,20.4,169.7,60.0,1.3,251.4
Oct to Dec 2003,20.5,176.2,62.8,1.3,260.8
Jan to Mar 2004,20.7,177.2,60.9,1.3,260.1
Apr to Jun 2004,20.1,169.6,62.8,1.3,253.8
Jul to Sep 2004,21.0,174.2,61.5,1.3,257.9
Oct to Dec 2004,21.8,183.7,65.4,1.2,272.0
Jan to Mar 2005,20.9,177.0,61.7,1.3,260.9
Apr to Jun 2005,22.0,182.7,64.1,1.4,270.2
Jul to Sep 2005,21.5,171.4,66.6,1.2,260.7
Oct to Dec 2005,23.2,188.3,69.9,1.4,282.8
Jan to Mar 2006,22.8,177.2,66.7,1.3,268.0
Apr to Jun 2006,23.7,185.9,65.3,1.4,276.3
Jul to Sep 2006,24.6,183.5,71.6,1.3,280.9
Oct to Dec 2006,25.2,202.5,71.9,1.4,301.0
Jan to Mar 2007,25.5,197.7,67.7,1.2,292.1
Apr to Jun 2007,25.7,198.4,68.1,1.3,293.6
Jul to Sep 2007,26.2,204.5,70.5,1.3,302.5
Oct to Dec 2007,25.1,215.8,75.5,1.3,317.7
Jan to Mar 2008,26.8,209.6,71.8,1.3,309.5
Apr to Jun 2008,27.7,212.7,76.5,1.3,318.2
Jul to Sep 2008,27.5,212.7,75.5,1.2,316.9
Oct to Dec 2008,27.5,218.1,77.4,1.5,324.5
Jan to Mar 2009,26.7,210.8,73.3,1.4,312.2
Apr to Jun 2009,26.8,202.8,74.0,1.5,305.1
Jul to Sep 2009,27.4,201.9,73.8,1.5,304.7
Oct to Dec 2009,28.9,210.7,79.7,1.7,320.9
Jan to Mar 2010,28.6,226.8,76.4,1.6,333.4
Apr to Jun 2010,28.4,213.3,77.8,1.7,321.3
Jul to Sep 2010,29.1,224.5,77.4,1.8,332.8
Oct to Dec 2010,29.8,231.1,80.7,2.0,343.5
Jan to Mar 2011,29.7,241.8,79.9,1.7,353.1
Apr to Jun 2011 [b],29.6,232.1,81.0,1.9,344.6
Jul to Sep 2011,30.2,242.5,81.8,1.8,356.3
Oct to Dec 2011,31.2,249.0,87.9,1.8,370.0
Jan to Mar 2012,31.0,267.4,85.3,1.7,385.4
Apr to Jun 2012,30.4,244.4,81.1,1.8,357.8
Jul to Sep 2012,31.0,259.7,82.6,1.8,375.0
Oct to Dec 2012,31.6,261.5,89.8,1.9,384.7
Jan to Mar 2013,30.1,264.4,83.7,1.9,380.2
Apr to Jun 2013,31.2,266.5,84.9,2.0,384.5
Jul to Sep 2013,31.4,271.3,85.1,1.9,389.7
Oct to Dec 2013,32.4,275.6,92.5,1.9,402.5
Jan to Mar 2014,30.8,285.9,88.1,1.9,406.7
Apr to Jun 2014,32.0,271.1,87.4,2.0,392.5
Jul to Sep 2014,32.9,281.7,90.3,2.0,406.8
Oct to Dec 2014,34.3,296.9,96.0,2.0,429.2
Jan to Mar 2015,32.6,294.3,93.0,1.9,421.8
Apr to Jun 2015,32.9,288.6,89.9,2.1,413.4
Jul to Sep 2015,33.8,294.6,91.0,2.1,421.5
Oct to Dec 2015,35.1,304.9,99.3,2.1,441.3
Jan to Mar 2016,33.7,306.7,95.0,1.9,437.4
Apr to Jun 2016,34.4,296.7,93.0,2.1,426.3
Jul to Sep 2016,35.0,293.4,93.9,2.1,424.4
Oct to Dec 2016,36.0,298.9,104.2,2.1,441.3
Jan to Mar 2017,35.1,301.5,96.9,2.1,435.5
Apr to Jun 2017,34.7,284.0,93.9,2.3,414.9
Jul to Sep 2017,35.6,290.9,96.4,2.2,425.1
Oct to Dec 2017,36.5,294.6,103.9,2.2,437.2
Jan to Mar 2018,34.7,295.9,94.1,2.1,426.8
Apr to Jun 2018,35.6,293.0,96.4,2.3,427.3
Jul to Sep 2018,35.4,299.7,95.9,2.2,433.1
Oct to Dec 2018,36.9,307.4,102.8,2.1,449.3
Jan to Mar 2019,35.6,309.0,96.6,2.1,443.2
Apr to Jun 2019 [note 5],36.2,301.1,97.9,2.3,437.5
Jul to Sep 2019 [note 5],36.4,306.6,102.5,2.2,447.7
Oct to Dec 2019 [note 6],37.2,314.5,107.4,2.1,461.2
Jan to Mar 2020,29.4,273.7,87.6,1.6,392.3
Apr to Jun 2020 [b] [p],2.4,27.0,5.9,0.0,35.4
Jul to Sep 2020 [p],9.9,94.3,29.0,0.2,133.5
Oct to Dec 2020 [p],8.0,105.9,25.3,0.2,139.4
Jan to Mar 2021 [p],4.5,60.5,14.6,0.1,79.7
Apr to Jun 2021 [b] [p] ,14.2,127.1,40.3,0.4,182.0
Jul to Sep 2021 [p] ,22.9,165.6,58.6,0.8,247.9
Oct to Dec 2021 [p] ,25.4,190.2,68.1,1.3,285.0
Jan to Mar 2022 [p] ,24.9,185.1,63.7,1.5,275.2
Apr to Jun 2022 [note 7] [p] ,30.7,223.1,71.6,2.4,327.7
Jul to Sep 2022 [note 7] [p] ,29.9,242.7,75.1,2.1,349.8
Oct to Dec 2022 [note 7] [p] ,28.7,245.5,71.8,2.0,348.0
Jan to Mar 2023 [note 7] [p] ,30.2,253.4,73.4,2.2,359.3
Apr to Jun 2023 [p] ,33.2,277.6,78.9,2.4,392.1
Jul to Sep 2023 [p] ,33.3,280.5,81.0,2.2,397.0
Oct to Dec 2023 [p] ,34.8,292.7,87.5,2.3,417.2
Jan to Mar 2024 [p] ,34.2,285.5,83.9,2.1,405.7
Apr to Jun 2024 [p] ,35.3,296.0,86.5,2.3,420.1
Jul to Sep 2024 [p] ,37.0,304.7,89.2,2.3,433.1
Oct to Dec 2024 [p],37.8,310.8,95.2,2.3,446.0
Jan to Mar 2025 [p],36.9,299.9,90.6,2.1,429.5
Apr to Jun 2025 [p] ,38.5,315.7,94.3,2.4,451.0
,,,,,
,,,,,
